firstname,lastname,email,username,password,profile_picture,dob,number,role,bio,major,minor,school
Onita,Daniel,Onita.Daniel@outlook.com,Onita.Daniel,pbkdf2:sha512:150000$UJwDIx3vjo$d56b230a584ddd602ec075f06f390a4fb7b84c1772ea3ffe8531b693849ccb39855c9a0b5ffc371382db6f1980cb5911e9f0dc329eead2fb0addd35dbe538624,default.png,05/15/1998,876-071-8253,student,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Ports are used to communicate with the external world. He looked inquisitively at his keyboard and wrote another sentence. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",Computer Engineering,Cybersecurity,St.Joseph Teachers College
Edmund,Stuart,Edmund.Stuart@gmail.com,Edmund.Stuart,pbkdf2:sha512:150000$k97xHFgIzr$fe85faa3f3cc6c5c8b327be3f3568df2eebb6db9d84aa993b86c76f0bda6f94c67bdd0351322de41c89463852433b7d9b271a314a136e36512b112b87b189f5a,default.png,09/03/2004,876-325-1224,student,"Type classes first appeared in the Haskell programming language. Make me a sandwich. Ports are used to communicate with the external world. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",Computer Science,Cybersecurity,St.Joseph Teachers College
Ken,Baxter,Ken.Baxter@gmail.com,Ken.Baxter,pbkdf2:sha512:150000$dJWgZ22K4x$4676e91ab40fa07b21b28e0b69791cd72c9f16fd1ab11fd4931d282f4273209b160ba9d2ae62a6a621e1902088645bb010a2269b6b37fe71c175a0601fe8caa9,default.png,01/16/1997,876-593-1873,student,"Erlang is a general-purpose, concurrent, functional programming language. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Its main implementation is the Glasgow Haskell Compiler. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",Information Systems,Computer Engineering,University of the West Indies
Laci,Colon,Laci.Colon@yahoo.com,Laci.Colon,pbkdf2:sha512:150000$dltfKsy7Bq$de79466cdbee2bbdc3a65712d87e26bb021ada8737a84e56e7145b0e0d4abb4bc3e76925926cfa0315b8eca8bc4c7cac5df59c655d627567c5cdc1fa5c69fc8a,default.png,11/24/2000,876-523-8695,student,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s.",Computer Engineering,Information Systems,St.Joseph Teachers College
Dominque,Powers,Dominque.Powers@outlook.com,Dominque.Powers,pbkdf2:sha512:150000$jS5W5YRQfr$fbc90335695fb1c928faf3c137bedb80c36c69cceca56ad73491ef5183e7ca9459de5aacd17119b2c677cf6bc298a91b17c2e125399709108ab4aeeb4bff137c,default.png,05/10/1997,876-124-1344,student,Tuples are containers for a fixed number of Erlang data types. Any element of a tuple can be accessed in constant time. Type classes first appeared in the Haskell programming language. He looked inquisitively at his keyboard and wrote another sentence.,Information Systems,Computer Science,Mico University College
Barbie,Keller,Barbie.Keller@yahoo.com,Barbie.Keller,pbkdf2:sha512:150000$Yjrsa8kYzr$a42ddda1ccdd5723d1148aa3006f90e213ca8bb17430218541220b49cfb2a0a135fd0d3321fdfe7139562b62f8488abc3171b217118edf4ae199c8bf810c70d8,default.png,07/28/1996,876-944-7992,student,"Haskell features a type system with type inference and lazy evaluation. Atoms are used within a program to denote distinguished values. Erlang is a general-purpose, concurrent, functional programming language. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",Computer Engineering,Computer Engineering,Northern Caribbean University
Clark,Lloyd,Clark.Lloyd@yahoo.com,Clark.Lloyd,pbkdf2:sha512:150000$cuW0TON2tH$193d30ef14dde7361eb7168dafc39f7c25634eddd18b0d4bf656d746a8ec57070b630f2939a3d43eeea9e87b61d2976e5ae9f5e4e9157e10023a0db8b24d173c,default.png,09/06/1999,876-932-4687,student,Atoms are used within a program to denote distinguished values. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Ports are created with the built-in function open_port. Any element of a tuple can be accessed in constant time.,Information Systems,Systems & Network Administration,University of the West Indies
Clorinda,Kirkland,Clorinda.Kirkland@outlook.com,Clorinda.Kirkland,pbkdf2:sha512:150000$WBmQuccMKq$951871be1d6a9e53c322743d899f885bdb6a45fdfa0ac853a93c22bbb434d022cbdf0b9491dee6c1a003db9b006881283ab02cdc873b30d405ddcf29a546edfe,default.png,02/20/1997,876-879-5370,student,"Type classes first appeared in the Haskell programming language. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Ports are used to communicate with the external world. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Cybersecurity,Information Technology,Mico University College
Jin,Blackburn,Jin.Blackburn@yahoo.com,Jin.Blackburn,pbkdf2:sha512:150000$EKSX0qOzs0$aae067f789281ce5712cc516fef473d3fe769e71f057090e732acc5ba9a85f5e4f2db7fb155cdffd033a2b154729135ea0500a902e9f2dad407296d92820d54f,default.png,11/23/2002,876-551-0380,student,Tuples are containers for a fixed number of Erlang data types. The arguments can be primitive data types or compound data types. Ports are created with the built-in function open_port. He looked inquisitively at his keyboard and wrote another sentence.,Systems & Network Administration,Information Science,University of the West Indies
Edra,Kirk,Edra.Kirk@outlook.com,Edra.Kirk,pbkdf2:sha512:150000$RL7LLu3ekV$138b7105785f4d69c3d1eb09b1fe8e0968011f0ae5b7bfde24fe93535c088c034fafbb78d0919d6dfe22c2189751fdfecf07af671177dcc341baf1062e3ce4eb,default.png,01/12/1995,876-613-2504,student,He looked inquisitively at his keyboard and wrote another sentence. Do you come here often? Tuples are containers for a fixed number of Erlang data types. Erlang is known for its designs that are well suited for systems.,Computer Engineering,Computer Science,St.Joseph Teachers College
Stanley,Rojas,Stanley.Rojas@gmail.com,Stanley.Rojas,pbkdf2:sha512:150000$j0CY1Co9fH$a5a4196583355efc895679ab1be49f0f61ef01e93e11628b702371c487baefcb727566569f529bab3a14a3f55dcac73362ba875fce33abf14dcae11dc2b1fb81,default.png,02/17/2002,876-845-2292,student,"It is also a garbage-collected runtime system. She spent her earliest years reading classic literature, and writing poetry. Erlang is known for its designs that are well suited for systems. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn.",Information Technology,Computer Engineering,Shortwood Teachers College
Wen,Jimenez,Wen.Jimenez@yahoo.com,Wen.Jimenez,pbkdf2:sha512:150000$l0CBa1Q1yC$30706c500f91ed0cbc678b7ca090a1b59f4948e0cded4e8ef6c8cb6bfcc5afda4b23e9002d05ec7b4bf3da33d33ad467d07eae69769ff4d0d2a29f18b192029d,default.png,04/05/1995,876-283-1052,student,"The arguments can be primitive data types or compound data types. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Atoms are used within a program to denote distinguished values.",Systems & Network Administration,Systems & Network Administration,University of the Commonwealth Caribbean
Bev,Mayer,Bev.Mayer@gmail.com,Bev.Mayer,pbkdf2:sha512:150000$9JuWvzYm8S$1fe7958deb1658067d9fefc868b644d891dd4219ccf6ccb27a0e220f3e76668b51b19b569c545c9cdf95d80e703ebe7b83eef34136b08e3f33dbdf5b9c0b12c0,default.png,03/11/1994,876-144-8713,student,Tuples are containers for a fixed number of Erlang data types. Do you come here often? Ports are created with the built-in function open_port. Ports are created with the built-in function open_port.,Information Systems,Information Science,Mico University College
Irmgard,Oliver,Irmgard.Oliver@yahoo.com,Irmgard.Oliver,pbkdf2:sha512:150000$FysZ25UNot$f8e4ae7c3b7f571cdf203a1fa7aa2ab6c964c0814fee19dbf40fd5bd002ac8c2ec9be14664cf94004ab09ccad7f8bbb49a6db60900256d2fbe34135b2c5ee8d0,default.png,04/28/2000,876-432-8877,student,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Do you have any idea why this is not working? The arguments can be primitive data types or compound data types. He looked inquisitively at his keyboard and wrote another sentence.",Systems & Network Administration,Computer Science,St.Joseph Teachers College
Shavonne,Glass,Shavonne.Glass@outlook.com,Shavonne.Glass,pbkdf2:sha512:150000$6DlZlZne2Y$4d8d67f95af73cd25dbd3d36ee9a6e9054c636ef708801ea0e4e85617a8313a63f126100ce72a3a56d449e380111acb7994a617982529e31f58d2e1a69a6aba4,default.png,02/10/1996,876-010-0464,student,"Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Ports are used to communicate with the external world. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. It is also a garbage-collected runtime system.",Information Systems,Systems & Network Administration,Northern Caribbean University
Sharika,Kim,Sharika.Kim@yahoo.com,Sharika.Kim,pbkdf2:sha512:150000$YQQQQVuYi8$1788fb4303df5e1fe2a6c8896dad71432a6e4dced4b0ca50aba11ad65b2cbbc2cd76a2ad5607893eef1d94e36bdcfa73ec1ce1ee2c448bfa01afe67daad493cc,default.png,08/13/1994,876-883-4795,student,The arguments can be primitive data types or compound data types. The arguments can be primitive data types or compound data types. Where are my pants? Haskell features a type system with type inference and lazy evaluation.,Computer Engineering,Information Systems,Northern Caribbean University
Wei,Herrera,Wei.Herrera@gmail.com,Wei.Herrera,pbkdf2:sha512:150000$KPJmpwgVKp$5a9b13e11505e1f55a926ae7d06c2af3f55761b96dde2bf6623e15d963278cfbba34d68d017609dc610a6a928797bbba6c1e5aa31801314c93f07cdad1369ab7,default.png,11/27/1998,876-413-1175,student,"The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",Information Systems,Computer Science,Shortwood Teachers College
Elroy,Sharp,Elroy.Sharp@outlook.com,Elroy.Sharp,pbkdf2:sha512:150000$zJEChmGrr2$e5959481b9125d3f248d0919a772fea7c8ec25ba6c6e52b87cae17e24426c72c12e0d14909048d872ac781b5a1c47e7f6349b1fa0ddff7d71ca8ba56721822d1,default.png,03/22/2000,876-149-4947,student,"Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" In 1989 the building was heavily damaged by fire, but it has since been restored. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Tuples are containers for a fixed number of Erlang data types.",Computer Engineering,Systems & Network Administration,St.Joseph Teachers College
Son,Stone,Son.Stone@outlook.com,Son.Stone,pbkdf2:sha512:150000$hzJXhgQFXk$e5d2741a4a03622ae605a8ae7e2200510d01b5970310db6d722e325748e755ee640e675352e7124b9c1702c0586a47ddada7c56a30aa299d705f11f7396b9412,default.png,08/19/1995,876-908-0738,student,"Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing. Do you come here often? Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Ports are created with the built-in function open_port.",Cybersecurity,Cybersecurity,University of the West Indies
Santiago,Blackburn,Santiago.Blackburn@gmail.com,Santiago.Blackburn,pbkdf2:sha512:150000$v3NAJb2aG6$d90cc7e5160c0eae1f65ae1517d68f1eea57f4b9e03cd1f35008915018a14429c65bbb3e60b21ee1b376abd6190c5860daa6fd9257466bb0cbaf1ad2e79e7ab2,default.png,08/27/1994,876-385-6629,student,"She spent her earliest years reading classic literature, and writing poetry. Make me a sandwich. She spent her earliest years reading classic literature, and writing poetry. Do you come here often?",Computer Science,Cybersecurity,University of Technology
Britany,Alford,Britany.Alford@yahoo.com,Britany.Alford,pbkdf2:sha512:150000$es1qZHy36D$97fe729270331b179b6eae924a3a48e46a8868f2bcf0caf37d7627811d9c1f503efc24ca691ee8cc76ce06330510af92aa75d1249eea2f57bc7562c04fb3448e,default.png,12/19/2000,876-245-1238,student,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Atoms are used within a program to denote distinguished values. Atoms are used within a program to denote distinguished values. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",Computer Engineering,Information Science,Shortwood Teachers College
Kindra,Ramirez,Kindra.Ramirez@gmail.com,Kindra.Ramirez,pbkdf2:sha512:150000$CpWOC919eN$a4319f2a481403f3db017acec58e1a3fa0d32e2ce895984fcc38544df07141003e4568d38340f5da3bdd9dc92a482138bd09da9974b7b0997c1bbc640b974545,default.png,08/01/2004,876-930-7517,student,"Any element of a tuple can be accessed in constant time. Atoms are used within a program to denote distinguished values. Do you have any idea why this is not working? In 1989 the building was heavily damaged by fire, but it has since been restored.",Computer Engineering,Computer Engineering,University of Technology
Enrique,Garner,Enrique.Garner@gmail.com,Enrique.Garner,pbkdf2:sha512:150000$ZgYfHM2KdB$26d0d69e9b75a0910b9589777ec4c912568c61d923918a592977bbe9cf1ccb2765d85c52570b50e36e82530d9e7576b9f77cfb3f9080b071f32025f1259761a0,default.png,03/06/1999,876-376-3006,student,"She spent her earliest years reading classic literature, and writing poetry. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Do you come here often? Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol.""",Information Science,Information Science,St.Joseph Teachers College
Brande,Henson,Brande.Henson@outlook.com,Brande.Henson,pbkdf2:sha512:150000$efSzCWHYcI$cc462cd8a2863a3c4119dc3cd6c050b8a6cf7f1e5de8fd2ff64e274f12e3e62d88a7e9629391f49dc0ea35b538d4c3a1998743be3ea1b426edb8cdf0b7ed4316,default.png,12/18/2004,876-810-6737,student,Make me a sandwich. Tuples are containers for a fixed number of Erlang data types. Any element of a tuple can be accessed in constant time. It is also a garbage-collected runtime system.,Computer Engineering,Cybersecurity,University of Technology
Angeles,Santos,Angeles.Santos@outlook.com,Angeles.Santos,pbkdf2:sha512:150000$3SD2WgN2EY$28cfb7e4005c71e949749868921284b4ac6c98a9659eedb666fe7b0cf3e7e7348da60831de887755c32cc8ab6a6e5b93c0460fed522f7f07c05e6b43769c415a,default.png,08/16/2003,876-518-3004,student,Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Make me a sandwich. Do you have any idea why this is not working? Atoms are used within a program to denote distinguished values.,Cybersecurity,Systems & Network Administration,Mico University College
Carmelia,Baird,Carmelia.Baird@gmail.com,Carmelia.Baird,pbkdf2:sha512:150000$juRpy0CDFC$b7c63a8204d745eaa7816d70e1aa59b52f008b0f85c00fbcb5dd6f749aa8281469da23e21bd57499c351636caf6d8b2830440c8e776437d340bf4753700395c5,default.png,07/21/2002,876-346-0954,student,"Atoms are used within a program to denote distinguished values. Any element of a tuple can be accessed in constant time. Do you have any idea why this is not working? She spent her earliest years reading classic literature, and writing poetry.",Cybersecurity,Computer Engineering,Northern Caribbean University
Bert,Cole,Bert.Cole@yahoo.com,Bert.Cole,pbkdf2:sha512:150000$xaln2BHw3J$4e82f96dc2324da8c116e7fbd1c3a4625318d8934f2746c7bfa125361e0867bf6c5ea6860f2427b44dd357989586c90fed1fe299ce09c4274b856af92feff33a,default.png,04/15/2002,876-799-4321,student,"She spent her earliest years reading classic literature, and writing poetry. Where are my pants? It is also a garbage-collected runtime system. Ports are created with the built-in function open_port.",Computer Engineering,Systems & Network Administration,Northern Caribbean University
Bernardina,Pruitt,Bernardina.Pruitt@yahoo.com,Bernardina.Pruitt,pbkdf2:sha512:150000$xtEMAxIvcS$6a40d76427220c1b700f9edd00d2d382ea21e4a0b7ef19c409d2fb318d88995749ccd0e8a460910e88e2154ea84fd4d20b0dc9279695396d1d5bb06dc53b3cf4,default.png,03/07/1999,876-770-3769,student,Tuples are containers for a fixed number of Erlang data types. Ports are created with the built-in function open_port. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom. Its main implementation is the Glasgow Haskell Compiler.,Systems & Network Administration,Computer Science,University of the West Indies
Dirk,Baxter,Dirk.Baxter@yahoo.com,Dirk.Baxter,pbkdf2:sha512:150000$TGweJtx9D8$d8954c3984080c6510fa188ee09c1c7a464592e15d7f404917ad082ad74bd69cb3883c9fcbc4aed5852da83a2478fbb4fe4e4de8d2d3f4caaace311cf527231a,default.png,02/17/1996,876-975-4209,student,Do you have any idea why this is not working? Haskell features a type system with type inference and lazy evaluation. Do you come here often? It is also a garbage-collected runtime system.,Information Science,Information Science,University of the Commonwealth Caribbean
Jaime,Jordan,Jaime.Jordan@gmail.com,Jaime.Jordan,pbkdf2:sha512:150000$d70jSSplDr$c1c5029e00535bca30efbd285de0f120b26295bd9051a2b07fd50e2485239c79a38208a6c2340d92032136bdb227db287febb7886e7ff5557c2c3037374b439d,default.png,12/31/2001,876-039-2954,student,"Ports are used to communicate with the external world. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Do you come here often?",Cybersecurity,Computer Engineering,St.Joseph Teachers College
Willian,Johnston,Willian.Johnston@gmail.com,Willian.Johnston,pbkdf2:sha512:150000$kRgrHCMVfA$667f5ecb95b7dc48ba45684ed8724519ec8eb0db21c59aad0d232954ba2c30142a0d448ff91baf41f34feb4a1e2c85753217095d9295da3907894e4a188787b0,default.png,08/27/2002,876-259-6819,student,"I don't even care. Ports are created with the built-in function open_port. I don't even care. In 1989 the building was heavily damaged by fire, but it has since been restored.",Computer Engineering,Computer Engineering,University of the West Indies
Melvin,Kirby,Melvin.Kirby@gmail.com,Melvin.Kirby,pbkdf2:sha512:150000$3xIC950IBM$9b479bde196d35268f8636924815f15e67447e199ae54008a18e7125ced5a122a83bb83e0d587e71108affeb18238bc78889e22150da7300ba3f86fa33995e37,default.png,08/20/2000,876-652-5084,student,"Haskell features a type system with type inference and lazy evaluation. Any element of a tuple can be accessed in constant time. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets.",Information Technology,Systems & Network Administration,University of the Commonwealth Caribbean
Chuck,Mckee,Chuck.Mckee@gmail.com,Chuck.Mckee,pbkdf2:sha512:150000$nkunfdLJMK$24fb0462e8cf08e68f3fa097ef5eba4888f6d7d94ea7b9056b37f65a5c5e3dd29f175c85d035f71dfcf9e1466fdd2633d98c36c1baed16d4af0801a37d5e9eac,default.png,12/09/1996,876-982-8424,student,"In 1989 the building was heavily damaged by fire, but it has since been restored. In 1989 the building was heavily damaged by fire, but it has since been restored. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Erlang is known for its designs that are well suited for systems.",Information Science,Cybersecurity,Mico University College
Chance,Bentley,Chance.Bentley@gmail.com,Chance.Bentley,pbkdf2:sha512:150000$zy2yEPpVb7$845ea09863a7a254460469ba3d08b1039928a9e30af04afbce160b44b39dce6bf4752664d072ab4d59c96e213b4df97670d5412f0f17519d66ac0904c2eb35e5,default.png,01/15/2004,876-496-1512,student,"Where are my pants? She spent her earliest years reading classic literature, and writing poetry. They are written as strings of consecutive alphanumeric characters, the first character being lowercase. Atoms can contain any character if they are enclosed within single quotes and an escape convention exists which allows any character to be used within an atom.",Information Science,Cybersecurity,Mico University College
Katharyn,Olsen,Katharyn.Olsen@outlook.com,Katharyn.Olsen,pbkdf2:sha512:150000$qpOn1MKwnu$61739f5670afedde1970eafe28fd32adbad1799133ee050a233b78dd49335f89e7614caae7d41e3a5293682764bbfaa42e8e8422bfde9ebc1950ad187ae2043d,default.png,02/01/1998,876-249-5063,student,"Make me a sandwich. Its main implementation is the Glasgow Haskell Compiler. The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Its main implementation is the Glasgow Haskell Compiler.",Computer Engineering,Information Science,University of the West Indies
Joseph,Becker,Joseph.Becker@yahoo.com,Joseph.Becker,pbkdf2:sha512:150000$pDetOQl9gG$5f08ec7ed06e42a8150be85297c14484a5dccb217391344805b4e3da3bb7746a07ca74ed7035f6136e1ac138aa16dc7b3dde84a7c6b98b04124eca8b73199b29,default.png,09/28/1994,876-738-1259,student,"Do you come here often? Erlang is known for its designs that are well suited for systems. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" They are written as strings of consecutive alphanumeric characters, the first character being lowercase.",Information Technology,Information Systems,Northern Caribbean University
Arlen,Orr,Arlen.Orr@yahoo.com,Arlen.Orr,pbkdf2:sha512:150000$43A43uPdVT$79975b7f246885eea53f8e1757cfd403979a9e8960420dd8816d51630b1b620030ce2ecc625bb097660b45996a9b45c08a4b373366d216f4ea46683f75bccc7c,default.png,11/30/1997,876-800-6938,student,"The Galactic Empire is nearing completion of the Death Star, a space station with the power to destroy entire planets. Erlang is known for its designs that are well suited for systems. Haskell features a type system with type inference and lazy evaluation. Haskell features a type system with type inference and lazy evaluation.",Computer Science,Computer Science,Shortwood Teachers College
Mike,Armstrong,Mike.Armstrong@yahoo.com,Mike.Armstrong,pbkdf2:sha512:150000$cSnTpbpcg0$bf12adc8ef0b7dc1b7eb03259c01fe92a83779b698cc570513ac627ad39764e77e0de44b5925a4b5df7eecdd7d60f07875bb73da8e898d106dac8c0b6e378bbd,default.png,04/02/2002,876-273-1252,student,"Do you have any idea why this is not working? Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Any element of a tuple can be accessed in constant time. In 1989 the building was heavily damaged by fire, but it has since been restored.",Computer Engineering,Computer Science,Mico University College
Norris,Maxwell,Norris.Maxwell@yahoo.com,Norris.Maxwell,pbkdf2:sha512:150000$eoIXhMaWu9$7b87e577a66dd88613cdbdfe00ddbc1d193faa84ea3bb29bf96ec8aa44e833fdbb7095709ee023ff9160fe740796d1a81eedd2c310fa1e8d04c908943bc81a55,default.png,01/26/2000,876-401-7678,student,"They are written as strings of consecutive alphanumeric characters, the first character being lowercase. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. I don't even care. Its main implementation is the Glasgow Haskell Compiler.",Cybersecurity,Information Science,Northern Caribbean University
Clinton,Bender,Clinton.Bender@outlook.com,Clinton.Bender,pbkdf2:sha512:150000$bc374iDSeI$2d95d010db9db7ad7c11283686cf6eb5a5861dfc0ff168d1e11c834678ee63e124197e56a5ec308a417cde65db68b29f4be828154dd8294f91456e9a67e536ec,default.png,10/01/2004,876-099-2241,student,"It is also a garbage-collected runtime system. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Any element of a tuple can be accessed in constant time.",Computer Engineering,Information Technology,Mico University College
George,Dawson,George.Dawson@gmail.com,George.Dawson,pbkdf2:sha512:150000$ACiOAwOO9l$2bca292ca693c5d94104342d1ebf67cc94a965710b97dcd8fdff519ab66cbb5a187875006a93cb9926a44494cb3db94511463d75abb58d1f1782660e799f4e00,default.png,06/08/1999,876-691-9240,student,"In 1989 the building was heavily damaged by fire, but it has since been restored. Erlang is known for its designs that are well suited for systems. I don't even care. Do you have any idea why this is not working?",Information Systems,Cybersecurity,Mico University College
Garret,Osborne,Garret.Osborne@gmail.com,Garret.Osborne,pbkdf2:sha512:150000$fve754msnR$dba2dc88938c235ddd8ff03e0d9ffe9c46634affb8a2f1f96146d6f3fe10a6de11c21b2bb9234ae7807fcbff22163fb222e8d6aba73103478b819b8c2867fbe9,default.png,04/23/2004,876-934-4725,student,"Make me a sandwich. Erlang is a general-purpose, concurrent, functional programming language. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Ports are used to communicate with the external world.",Systems & Network Administration,Information Systems,University of the West Indies
Riley,Gibson,Riley.Gibson@gmail.com,Riley.Gibson,pbkdf2:sha512:150000$TcsYe1NLbu$18842ee0dba3b93d3c663d0668eeb046a3845198d5d7ae067fab95e4a444ed169b8e86c92071454adffc5a161235fd4af8910d8bba3b446328d4cf827578177f,default.png,09/29/1999,876-044-8374,student,"Type classes first appeared in the Haskell programming language. Erlang is a general-purpose, concurrent, functional programming language. The arguments can be primitive data types or compound data types. Do you come here often?",Computer Engineering,Computer Engineering,University of the West Indies
Tari,Valencia,Tari.Valencia@yahoo.com,Tari.Valencia,pbkdf2:sha512:150000$ZRRDtm8M74$7e5b3f5f3b238e9c2f973ed57b2dc6f083b31732e95305690c78d1d1b6e1c514469a8ce5606336d8088c2b8b56b5de9c4c620c3a9c5ec37d8b702e42353a1255,default.png,08/22/1997,876-360-1720,student,"It is also a garbage-collected runtime system. Initially composing light-hearted and irreverent works, he also wrote serious, sombre and religious pieces beginning in the 1930s. Erlang is known for its designs that are well suited for systems. It is also a garbage-collected runtime system.",Computer Engineering,Information Technology,University of the Commonwealth Caribbean
Vern,Washington,Vern.Washington@gmail.com,Vern.Washington,pbkdf2:sha512:150000$iBO585huHk$8d241f9d6a8d7ee90cb3e31469bf74fcd1c6769ec94aec7d1a8757dc59b1acb45782fd1a2db23cb4c5734983eedfd55fe737b421389b3964ea035507460e2bf6,default.png,02/23/1996,876-312-3406,student,"Make me a sandwich. Ports are created with the built-in function open_port. Messages can be sent to and received from ports, but these messages must obey the so-called ""port protocol."" Erlang is a general-purpose, concurrent, functional programming language.",Information Systems,Computer Science,St.Joseph Teachers College
Clarine,Patel,Clarine.Patel@gmail.com,Clarine.Patel,pbkdf2:sha512:150000$ZIpBZO7p07$ff90cb88c5019a5a3d50ffc6f649b61f8531755297a18be4d1f4eeec9c81244038715f236db1d967b147482a897a9b1db78b5d62a7f17a33ff5230a393996750,default.png,02/04/1998,876-509-1128,student,"It is also a garbage-collected runtime system. The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Haskell is a standardized, general-purpose purely functional programming language, with non-strict semantics and strong static typing.",Cybersecurity,Information Technology,University of Technology
Marleen,O'brien,Marleen.O'brien@yahoo.com,Marleen.O'brien,pbkdf2:sha512:150000$syEy37KLrp$ba6b0ad2585b150a9d63b03e569b5347f70a96cbfbbe8880793b6d848df20af26f12baaf91ce9d9e36419f3cd64fb62431102e854557b8d4b01e7055f97ad38d,default.png,04/19/2000,876-190-9517,student,"The syntax {D1,D2,...,Dn} denotes a tuple whose arguments are D1, D2, ... Dn. Erlang is a general-purpose, concurrent, functional programming language. Do you have any idea why this is not working? Haskell features a type system with type inference and lazy evaluation.",Systems & Network Administration,Information Science,St.Joseph Teachers College
Roger,Howard,Roger.Howard@gmail.com,Roger.Howard,pbkdf2:sha512:150000$V0nNaOqZ5m$de34862217108abfa80d04518e34c8036137091b5a67422c0dea01caeda99da6129de3d596ed1f8db631eea99c89e4455cf978256ea1b28a84e119235be88857,default.png,08/05/2002,876-487-2164,student,"Make me a sandwich. It is also a garbage-collected runtime system. The sequential subset of Erlang supports eager evaluation, single assignment, and dynamic typing. Ports are created with the built-in function open_port.",Information Technology,Information Technology,St.Joseph Teachers College
Dung,Mosley,Dung.Mosley@yahoo.com,Dung.Mosley,pbkdf2:sha512:150000$bz3myoFoOz$ad41ae59846556a9af8b42d85b5cb0a9c7ea0861680582d704fefd1e10b8815f6ee1eb61b42e6bb8b76798f3f4da6fbb8fcdd9e1abca99053f471ec03bb9ebba,default.png,02/15/2002,876-564-8998,student,"Ports are used to communicate with the external world. Any element of a tuple can be accessed in constant time. In 1989 the building was heavily damaged by fire, but it has since been restored. The arguments can be primitive data types or compound data types.",Systems & Network Administration,Systems & Network Administration,Northern Caribbean University
